username, created_at, lng, lat, text
valerodiana6, Tue Apr 21 03:32:56 +0000 2020, -100.293591, 25.641718, ADOBLEUUUU... 𝓘𝓷𝓸𝓵𝓿𝓲𝓭𝓪𝓫𝓵𝓮 
504ICYGRL, Tue Apr 21 03:32:59 +0000 2020, -118.411907, 34.020789, Why is uzi still bullying carti lol 
Biedersam, Tue Apr 21 03:33:00 +0000 2020, -73.948775, 40.655138, For gods sake, everything’s a reaction to something else. That doesn’t meant that bigotry isn’t bigotry. 
lilkrouton, Tue Apr 21 03:33:00 +0000 2020, -88.161321, 41.748496, @huntalot713 @jantsenmusic Oh good for it, thank u 🙏🏻 
toolegittobrit, Tue Apr 21 03:33:00 +0000 2020, -97.302830, 32.520998, True. But pits and other dog breeds can do ALOT more damage. 5lbs vs 50+..... 
TiffWrestling, Tue Apr 21 03:33:00 +0000 2020, -91.760824, 37.947823, Boyfriend left me on seen. I’m fine tho. 😅 
JohnGreenwell23, Tue Apr 21 03:33:00 +0000 2020, -85.768241, 37.822244, @BK_MEDIA_BK @gb3elite We want you here at BBN 🔵⚪️🔵⚪️ 
drypenis, Tue Apr 21 03:33:01 +0000 2020, -97.135638, 32.701850, I just want a cute girlfriend already 
ChristophersKC, Tue Apr 21 03:33:01 +0000 2020, -98.319925, 38.498196, @JaymeKMBZ You are very much appreciated. 
allymac_16, Tue Apr 21 03:33:01 +0000 2020, -84.266174, 30.476216, This made me shed a tear 😪 
amxlfi, Tue Apr 21 03:33:01 +0000 2020, -117.887439, 33.739992, brought molly to tha party 
abebrown716, Tue Apr 21 03:33:01 +0000 2020, -74.032258, 40.746380, @GenePark This is not the bottom. 
NapTheQue, Tue Apr 21 03:33:01 +0000 2020, -83.173867, 32.678207, @dayshdadon It has everything to do with it. You can’t make a claim and not support it with evidence. Neither of us… https://t.co/YPLaJJfRhB 
pierceabatista, Tue Apr 21 03:33:01 +0000 2020, -90.110051, 29.881880, https://t.co/lX0LnUBcpE 
